"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","Ghana","general population",40768,2,"Doris and Esther","Missing Data","Female",48,"Fante",0,-1,"Farmers","Trader","No HS degree",NA,"Urban","Christianity","Christianity",1,"Methodist",0,0,0.2,0.9375
"study 2","Ghana","general population",40770,2,"Doris and Esther","Missing Data","Female",30,"Fante",0,1,"Mom: Farmer, Dad: Fisherman","Seller","No HS degree",NA,"Urban","Christianity","Christianity",2,"Does not go to church",0,0,0.157894736842105,0.75
"study 2","Ghana","general population",40771,2,"Doris and Esther","English","Male",32,"Fante",1,1,"Trading","Revenue Officer","Vocational school",NA,"Urban","Christianity","Christianity",1,"Methodist",1,1,0.05,0.53125
"study 2","Ghana","general population",40772,2,"Doris and Esther","English","Male",40,"Akan",1,1,"Farmers","Revenue officer","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Presby",1,1,0.4375,0.5625
"study 2","Ghana","general population",40773,2,"Doris and Esther","English","Male",25,"Akan",1,0,"Mom: Revered Ministers","Student","Other graduate degree",NA,"Urban","Christianity","Christianity",1,"Methodist Church",1,1,0.3,0.46875
"study 2","Ghana","general population",40774,2,"Doris and Esther","Missing Data","Female",50,"Fante",1,1,"Mom: Food vendor, Dad: mdata","Cleaner","No HS degree",NA,"Urban","Christianity","Christianity",2,"Anglican",1,1,0.5,0.9375
"study 2","Ghana","general population",40775,2,"Doris and Esther","English","Male",52,"Ga",1,NA,"Mom: Nursery Attendant, Dad: Hospital Administrator","Valuation officer","Bachelors degree",NA,"Urban","Christianity","Christianity",0,"Anglican",1,1,0.421052631578947,0.59375
"study 2","Ghana","general population",40776,2,"Doris and Esther","Missing Data","Male",43,"Fante",1,1,"Mom: Retired Nurse, Dad: Educationist","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"AME Zion Church",1,1,0.444444444444444,0.71875
"study 2","Ghana","general population",40777,2,"Doris and Esther","Missing Data","Female",38,"Dagati",1,1,"Mom: Trader, Dad: Conversative labourer","Teacher","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Roman Catholic",1,1,0.3,0.75
"study 2","Ghana","general population",40778,2,"Doris and Esther","English","Male",58,"Ahanta",0,0,"Mother: Baker, Dad: Surveyor","Civil Servant (Evaluation officer)","Vocational school",NA,"Urban","Christianity","Christianity",2,"Anglican",0,0,0.4,0.733333333333333
"study 2","Ghana","general population",40779,2,"Doris and Esther","English","Male",56,"Ewe",1,1,"Lauds Comission. Mom: Farmer, Dad: Teacher","Valuation officer (Civil Servant)",NA,NA,"Rural","Christianity","Christianity",1,"Roman Catholic",1,1,0.722222222222222,0.84375
"study 2","Ghana","general population",40780,2,"Doris and Esther","Missing Data","Female",40,"Nzema",1,2,"Mom: Civil Servant, Dad: Mechanic","Trader","No HS degree",NA,"Urban","Christian","Christian",2,"Methodist",1,1,0.65,0.9375
"study 2","Ghana","general population",40781,2,"Doris and Esther","Missing Data","Male",49,"Nzema and Hausa",NA,0,"Mom: Trader / Farmer, Dad: Driver / Farmer","Court Registrar","No HS degree",NA,"Rural","Muslim","Muslim",2,"Missing Data",NA,NA,0.05,0.733333333333333
"study 2","Ghana","general population",40782,2,"Doris and Esther","Missing Data","Male",70,"Fante",1,0,"Mom: Trader, Dad: Sales Manager","Chemical engineer (retired)","Other graduate degree",NA,"Urban","Catholic","Mom: Catholic, Dad: Methodist",1,"mdata",1,1,0.1,0.533333333333333
"study 2","Ghana","general population",40784,2,"Doris and Esther","Missing Data","Male",41,"Fante",1,-1,"Farmers","Trader (Cement)",NA,NA,"Urban","Christian","Christian",0,"Catholic church",1,1,0.157894736842105,0.625
"study 2","Ghana","general population",40785,2,"Doris and Esther","English","Female",40,"Akan",1,1,"Mom: Traditional Birth Attender, Dad: Driver","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Methodist",1,1,0.35,0.625
"study 2","Ghana","general population",40786,2,"Doris and Esther","Missing Data","Male",56,"Fante",1,1,"Civil Servant (Father) Trader (Mother)","Civil Servant (Birth and Death)","No HS degree",NA,"Urban","Christian","Christian",2,"Catholic church",1,1,0.3,0.71875
"study 2","Ghana","general population",40787,2,"Doris and Esther","Missing Data","Female",53,"Fante",0,0,"Mom: Trader, Dad: Civil Servant","Trader","No HS degree",NA,"Urban","Christian","Christian",1,"Methodist",0,0,0.3,0.53125
"study 2","Ghana","general population",40788,2,"Doris and Esther","Missing Data","Male",61,"Fante",0,0,"Mom: Trader, Dad: Civil Servant","Retired Civil Servant","Vocational school",NA,"Urban","Christian","Christians",1,"Anglican church",0,0,0.3,0.733333333333333
"study 2","Ghana","general population",40789,2,"Doris and Esther","Missing Data","Male",52,"Fante",1,0,"Mom: Trader, Dad: Carpenter","Store keeper / Sprayer","No HS degree",NA,"Rural","Christian","Christian",1,"Grace Evangelic",1,1,0.4,0.71875
"study 2","Ghana","general population",40790,2,"Doris and Esther","Missing Data","Male",30,"Fante",0,-1,"Mom: Cooks in a college","Not working",NA,NA,"Urban","Christian","Christian",1,"Jesus Christ of Latter Day Saint",0,0,0.35,0.6875
"study 2","Ghana","general population",40791,2,"Doris and Esther","Missing Data","Female",53,"Fante",0,0,"Trader","Cleaner in nursery school","No HS degree",NA,"Urban","Christian","Christian",2,"Methodist",0,0,0.35,0.875
"study 2","Ghana","general population",40792,2,"Doris and Esther","Missing Data","Female",32,"Northerner",1,1,"Mom: Trader, Dad: Taylor","Health worker / Civil Servant","Bachelors degree",NA,"Urban","Muslim","Muslim",2,"Mosque anywhere you can pray",1,1,0.25,0.71875
"study 2","Ghana","general population",40793,2,"Doris and Esther","Missing Data","Male",41,"Fante",0,-1,"Diseased","Electrician",NA,NA,"Urban","Christian","Christian",1,"Anglican",0,0,0.25,0.84375
"study 2","Ghana","general population",40807,2,"Doris and Esther","English","Male",58,"Fante, Ga",1,0,"Mom: Baker, Dad: Teacher","Civil Servant (Evaluation officer)","Vocational school",NA,"Urban","Christianity","Christianity",2,"House of Worship (Divine)",1,1,0.75,0.8
"study 2","Ghana","general population",40809,2,"Doris and Esther","Missing Data","Female",23,"Fante",0,1,"Mom: Trader, Dad: Missing Data","Seamstress",NA,NA,"Urban","Christianity","Christianity",2,"Light of Christ Chapel International",0,0,0.5,0.625
"study 2","Ghana","general population",40821,2,"Doris and Esther","Missing Data","Female",59,"Fante",0,-1,"Mom: Trader, Dad: Carpenter","Trader","No HS degree",NA,"Rural","Christianity","Christianity",1,"House of Faith",0,0,0.35,0.75
"study 2","Ghana","general population",40825,2,"Doris and Esther","English","Male",62,"Akan (Akuapem)",1,1,"Mom: Nurse, Dad: Medical Doctor","School propietor","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Deep-Life",1,1,0.35,0.5625
"study 2","Ghana","general population",40826,2,"Doris and Esther","Missing Data","Female",23,"Fante",0,1,"Mom: Food Vendor, Dad: Teacher","Seamstress","No HS degree",NA,"Rural","Christianity","Christianity",2,"Christian Divine Church",0,0,0.315789473684211,0.625
"study 2","Ghana","general population",40836,2,"Doris and Esther","Missing Data","Female",28,"Ewe",1,2,"Retired","Health Insurance Officer",NA,NA,"Urban","Christianity","Christianity",1,"Spoken Word",1,1,0.25,0.71875
"study 2","Ghana","charismatic",40605,1,"Doris and Esther","Missing Data","Female",33,"Fante",0,1,"Farmers","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Apostolic Ghana",0,0,0.631578947368421,0.8125
"study 2","Ghana","charismatic",40616,1,"Doris and Esther","Missing Data","Female",40,"Fante",0,0,"my mum doesn't work","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Christ Apostolic",0,0,0.2,0.84375
"study 2","Ghana","charismatic",40645,1,"Doris and Esther","Missing Data","Male",32,"Ewe",1,1,"Mom: Trader, Dad: Farmer","Surveyer","Vocational school",NA,"Rural","Christianity","Traditionalists",2,"Christ Apostolic Church International",1,1,0.421052631578947,0.4375
"study 2","Ghana","charismatic",40654,1,"Doris and Esther","Fante","Male",23,"Ewe",0,1,"Mom: Trader, Dad: Farmer","Security Personnel",NA,NA,"Rural","Christianity","Christianity",2,"Christ Apostolic Church",0,0,0.842105263157895,1
"study 2","Ghana","charismatic",40659,1,"Doris and Esther","Fante","Male",44,"Akan (Fanti)",0,2,"Businessman and woman","Businessman","No HS degree",NA,"Urban","Christianity","Christianity",2,"Christ Apostolic Church",0,0,0.3,0.84375
"study 2","Ghana","charismatic",40669,1,"Doris and Esther","Missing Data","Female",52,"Ga",0,1,"Trader","Trader","No HS degree",NA,"Urban","Christianity","Christianity",1,"Triumphant Outreach Ministry",0,0,0.6,0.8125
"study 2","Ghana","charismatic",40671,1,"Doris and Esther","English","Male",29,"Ashanti",1,1,"Trader, Farmer","Seminary (A student at the seminary)","Some college",NA,"Urban","Christianity","Christianity",1,"Church of God",1,1,0.526315789473684,0.75
"study 2","Ghana","charismatic",40673,1,"Doris and Esther","English","Female",30,"Ewe",1,0,"Herbalist","Account Assistance","Vocational school",NA,"Rural","Christianity","Christianity",1,"Emmanuel Assemblies of God",1,1,0.1,0.75
"study 2","Ghana","charismatic",40674,1,"Doris and Esther","English","Female",30,"Ewe",1,1,"Pensioneers","Client Attendant","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Victory Bible Church Int.",1,1,0.15,0.8125
"study 2","Ghana","charismatic",40677,1,"Doris and Esther","Missing Data","Male",31,"Denkyira",0,1,"Mom: Teacher, Dad: Navy","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Pentecost",0,0,0.15,0.71875
"study 2","Ghana","charismatic",40679,1,"Doris and Esther","English","Female",29,"Freightforwarder",1,2,"Businesswoman","Teacher and Nurse","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Spoken Word",1,1,0.5,0.71875
"study 2","Ghana","charismatic",40680,1,"Doris and Esther","English","Female",25,"Fante",1,0,"Dad: Principal Baillif at Ghrag, Mum: Business Woman","Service Personnel","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"ICGC",1,1,0.3,0.65625
"study 2","Ghana","charismatic",40681,1,"Doris and Esther","Missing Data","Female",27,"Fante",0,0,"Farmers","Trader","No HS degree",NA,"Rural","Christianity","Christianity",1,"Assemblies of God",0,0,0.05,0.84375
"study 2","Ghana","charismatic",40683,1,"Doris and Esther","Missing Data","Male",53,"Fante",1,1,"Mom: Trader, Dad: Police Officer","Driver","No HS degree",NA,"Urban","Christianity","Christianity",2,"Assemblies of God",1,1,0.35,0.625
"study 2","Ghana","charismatic",40684,1,"Doris and Esther","Missing Data","Male",28,"Akan",1,1,"Farming","I don't work","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Pentecost",1,1,0.25,0.875
"study 2","Ghana","charismatic",40685,1,"Doris and Esther","Missing Data","Female",27,"Fante",1,0,"Trader","Hairdresser","No HS degree",NA,"Urban","Christianity","Christianity",2,"Assemblies of God",1,1,0.3,0.75
"study 2","Ghana","charismatic",40686,1,"Doris and Esther","Missing Data","Male",36,"Fante",1,1,"Mum: Matron, Dad: Building Contractor","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"Jewels of Christ",1,1,0.3,0.625
"study 2","Ghana","charismatic",40687,1,"Doris and Esther","Missing Data","Male",31,"Fante",0,1,"Mom: Fishmonger, Dad: Driver","Teacher","Some college",NA,"Urban","Christianity","Christianity",2,"Valour Family Chapel",0,0,0.25,0.71875
"study 2","Ghana","charismatic",40688,1,"Doris and Esther","Missing Data","Female",24,"Fante",1,0,"Mum: Trader, Dad: Proprietor","Nurse","Some college",NA,"Urban","Christianity","Christianity",1,"Deeper Christian Life Bible Church",1,1,0.25,0.6875
"study 2","Ghana","charismatic",40690,1,"Doris and Esther","Missing Data","Female",74,"Fante",1,-1,"Dad: Mason, Mum: seller/food vendor","Trader","No HS degree",NA,"Urban","Christianity","Christianity",-1,"Church of Pentecost",1,1,0.368421052631579,0.84375
"study 2","Ghana","charismatic",40693,1,"Doris and Esther","Missing Data","Female",44,"Fante",0,0,"Mom: Trader, Dad: Carpenter","Farmer","No HS degree",NA,"Urban","Christianity","Christianity",2,"Twelve Apostles",0,0,0.45,0.875
"study 2","Ghana","charismatic",40694,1,"Doris and Esther","Missing Data","Female",34,"Denkyira",0,2,"Farmers","Trader","No HS degree",NA,"Urban","Christianity","Christianity",2,"Church of Pentecost",0,0,0.15,0.9375
"study 2","Ghana","charismatic",40695,1,"Doris and Esther","Missing Data","Male",20,"Fante",1,1,"Mom: Trader, Dad: Fisherman","Student","No HS degree",NA,"Urban","Christianity","Christianity",2,"Church of Pentecost",1,1,0.421052631578947,0.6875
"study 2","Ghana","charismatic",40697,1,"Doris and Esther","Missing Data","Female",44,"Fante",0,1,"Fishmonger","Fishmonger","No HS degree",NA,"Urban","Christian","Christian",1,"Pentecostal Church of Christ",0,0,0.15,0.9375
"study 2","Ghana","charismatic",40698,1,"Doris and Esther","English","Male",20,"Fante",1,0,"Mum: Fishmonger","Sales Executive",NA,NA,"Urban","Christianity","Christianity",1,"Assemblies of God",1,1,0.2,0.8125
"study 2","Ghana","charismatic",40699,1,"Doris and Esther","English","Male",66,"Fante",0,0,"Mom: Trader, Dad: Senior Executive Officer (HR)","Farmer Area Manager Ghana Telecom","Bachelors degree",NA,"Urban","Christian","Christians",2,"Church of Pentecost",0,0,0.35,0.71875
"study 2","Ghana","charismatic",40700,1,"Doris and Esther","English","Male",33,"Fante",1,1,"Mum: Trader, Dad: Police man","Teacher","Bachelors degree",NA,"Rural","Christianity","Christianity",1,"Deeper Life Church",1,1,0.2,0.59375
"study 2","Ghana","charismatic",40702,1,"Doris and Esther","Fante","Male",51,"Akan (Fanti)",0,1,"Deceased: Dad: Gold mines, Mom: Fisher Seller (Trader)","Pastor (& security) - stated pastor, but was working in security",NA,NA,"Urban","Christianity","Christianity",2,"Salvation True Church",0,0,0.65,0.625
"study 2","Ghana","charismatic",40703,1,"Doris and Esther","English","Male",53,"Guan",1,0,"Deceased (Farmers)","Educationist (Teacher)","Other graduate degree",NA,"Urban","Christianity","Christianity",1,"Pentecost (PIWC)",1,1,0.2,0.40625
"study 2","Ghana","charismatic",40705,1,"Doris and Esther","Fante","Male",54,"Akan (Fanti)",0,NA,"Farmers","Driver","No HS degree",NA,"Rural","Christianity","Christianity",1,"Pentecost",0,0,0.263157894736842,0.71875
"study 2","Ghana","charismatic",40706,1,"Doris and Esther","English","Male",35,"Ewe",1,1,"Mom: Trader (Former), Dad: Carpenter | Farmer (Former)","Businessman","Vocational school",NA,"Rural","Christianity","Christianity",0,"Pentecost",1,1,0.05,1
"study 2","Ghana","charismatic",40707,1,"Doris and Esther","Fante","Male",51,"Missing Data",0,1,"Mom: Pensioner (Caterer at Central hospital), Dad: Pensioner (Printing Press University - UCC)","Bookman",NA,NA,"Urban","Christianity","Christianity",2,"Winners Church international",0,0,0.2,0.75
"study 2","Ghana","charismatic",40709,1,"Doris and Esther","English","Female",41,"Akan",1,0,"Mom: Trader, Dad: Managing Director","Teaching","Bachelors degree",NA,"Urban","Christianity","Christianity",2,"Charismatic Evangelistic Ministry",1,1,0.352941176470588,0.59375
"study 2","Ghana","charismatic",40710,1,"Doris and Esther","Fante","Female",40,"Fante",0,2,"Mum: Bus conductor, Dad: Accountant","Businessmen",NA,NA,"Urban","Christianity","Christianity",1,"Holy Fire",0,0,0.6,0.625
"study 2","Ghana","charismatic",40713,1,"Doris and Esther","Fante","Male",40,"Fante",0,0,"Mom: Teacher, Dad: Retired Constructor","Businessman","Vocational school",NA,"Urban","Christianity","Christianity",2,"Light House Chapel International",0,0,0.15,0.8125
"study 2","Ghana","charismatic",40714,1,"Doris and Esther","English","Male",50,"Wasa",1,1,"Retired Teachers","Head of Transport (Assistance Registrar)","Other graduate degree",NA,"Urban","Christianity","Christianity",2,"Church of Pentecost",1,1,0.75,0.78125
"study 2","Ghana","charismatic",40715,1,"Doris and Esther","Missing Data","Male",41,"Akan",0,1,"Mom: Trader, Dad: Retired Policeman","Fabricator",NA,NA,"Rural","Christianity","Christianity",2,"ICGC",0,0,0.45,0.875
"study 2","Ghana","charismatic",40716,1,"Doris and Esther","English","Male",40,"mdata",1,0,"Retired: Trader, Dad: Industrialist","Computer User and Specialist","Bachelors degree",NA,"Urban","Christianity","Christianity",1,"ICGC",1,1,0.25,0.5
"study 2","Ghana","charismatic",40718,2,"Doris and Esther","Missing Data","Male",34,"Ga",0,1,"Fishmonger and Farmer","Sales Personnel",NA,NA,"Urban","Christianity","Christianity",2,"The Apostolic Church - Ghana",0,0,0.578947368421053,0.75
"study 2","Ghana","charismatic",40719,2,"Doris and Esther","Missing Data","Male",49,"Fante",0,1,"Mom: Fishmonger, Dad: Army officer","Seat liner","No HS degree",NA,"Urban","Christianity","Christianity",2,"Redemption Baptist Church",0,0,0.45,0.8125
"study 2","Ghana","charismatic",40720,2,"Doris and Esther","English","Female",25,"Assin",NA,1,"mdata","National Service Personnel","Bachelors degree",NA,"Rural","Christiantity","Christianity",1,"Assemblies of God",NA,NA,0.2,0.78125
